chembl_id,pref_name,atc,drh_indication,drh_moa,pain_prior,cns_prior
CHEMBL425,OLSALAZINE,A07EC03,ulcerative colitis,cyclooxygenase inhibitor,False,False
CHEMBL27,PROPRANOLOL,C07AA05,hypertension|angina pectoris|migraine headache,adrenergic receptor antagonist,False,True
CHEMBL6995,PRACTOLOL,C07AB01,,adrenergic receptor antagonist,False,True
CHEMBL427,MECHLORETHAMINE,L01AA05,,,False,False
CHEMBL29,PENICILLIN G,J01CE01;S01AA14,,,False,False
CHEMBL428,TROVAFLOXACIN,J01MA13,,bacterial DNA gyrase inhibitor,False,False
CHEMBL30,CIMETIDINE,A02BA51;A02BA01,duodenal ulcer disease|peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)|aggressive systemic mastocytosis (ASM)|Zollinger-Ellison syndrome|endocrine adenoma,histamine receptor antagonist,False,True
CHEMBL31,GATIFLOXACIN,S01AE06;J01MA16,,bacterial DNA gyrase inhibitor,False,False
CHEMBL429,LABETALOL,C07AG01,hypertension,adrenergic receptor antagonist,False,True
CHEMBL32,MOXIFLOXACIN,J01MA14;S01AE07,sinusitis|bronchitis|pneumonia|skin infections|intra-abdominal infections,bacterial DNA gyrase inhibitor,False,False
CHEMBL33,LEVOFLOXACIN ANHYDROUS,,,,False,False
CHEMBL430,GEMIFLOXACIN,J01MA15,bronchitis|pneumonia,bacterial DNA gyrase inhibitor,False,False
CHEMBL431,SPIRAPRIL,C09AA11,,,False,False
CHEMBL433,VALPROATE SODIUM,,,,False,False
CHEMBL434,ISOPROTERENOL,C01CA02;R03CB51;R03AB02;R03CB01,,,False,False
CHEMBL435,HYDROCHLOROTHIAZIDE,C03AX01;C03AA03,hypertension|congestive heart failure,thiazide diuretic,False,False
CHEMBL35,FUROSEMIDE,C03CA01,edema|hypertension|congestive heart failure|nephrotic syndrome,diuretic,False,False
CHEMBL36,PYRIMETHAMINE,P01BD01;P01BD51,malaria,dihydrofolate reductase inhibitor,False,False
CHEMBL436,TOLRESTAT,A10XA01,,aldose reductase inhibitor,False,False
CHEMBL437,SULFATHIAZOLE,D06BA02;J01EB07,gram-negative bacterial infections|gram-positive bacterial infections,dihydropteroate synthase inhibitor,False,False
CHEMBL438,SULFAMERAZINE,D06BA06;J01ED07,coccidiosis|cholera,bacterial antifolate,False,False
CHEMBL439,SULFADIAZINE,J01EC02,malaria|meningitis|urinary tract infections|conjunctivitis|trachoma|chancroid,bacterial antifolate,False,False
CHEMBL440,THIAMYLAL,,sedative,glutamate receptor antagonist,False,True
CHEMBL441,THIOPENTAL,N01AF03;N05CA19,anesthetic,GABA receptor antagonist,False,True
CHEMBL268164,CYCLOBARBITAL,N05CA10,,,False,True
CHEMBL442,ERGOTAMINE,N02CA72;N02CA02;N02CA52,migraine headache,adrenergic receptor antagonist,False,True
CHEMBL38,TRETINOIN,D10AD51;L01XF01;D10AD01,acute promyelocytic leukemia (APL),retinoid receptor agonist|retinoid receptor ligand,False,False
CHEMBL7413,METHOHEXITAL,N01AF01;N05CA15,,,False,False
CHEMBL40,PHENOBARBITAL,N03AA02,,,False,True
CHEMBL41,FLUOXETINE,N06AB03,depression|obsessive compulsive disorder (OCD)|bulimia nervosa|panic disorders|bipolar disorder,selective serotonin reuptake inhibitor (SSRI),False,True
CHEMBL443,SULFAMETHOXAZOLE,J01EC01,pneumonia|enteritis|urinary tract infections,PABA antagonist,False,False
CHEMBL444,BARBITAL,N05CA04,,,False,True
CHEMBL42,CLOZAPINE,N05AH02,schizophrenia,dopamine receptor antagonist|serotonin receptor antagonist,False,True
CHEMBL445,NORTRIPTYLINE,N06AA10,depression,tricyclic antidepressant,True,True
CHEMBL446,SULFAMETHAZINE,J01EB03,enteritis,PABA antagonist,False,False
CHEMBL447,SECOBARBITAL,N05CA06,,,False,True
CHEMBL448,PENTOBARBITAL,N05CA01,,,False,True
CHEMBL7568,QUINACRINE,P01AX05,,,False,False
CHEMBL267894,AMOBARBITAL,N05CA02,,,False,True
CHEMBL7728,HEXOBARBITAL,N01AF02;N05CA16,,,False,False
CHEMBL449,BUTABARBITAL,,,,False,False
CHEMBL7863,APROBARBITAL,N05CA05,,,False,True
CHEMBL450,METHARBITAL,N03AA30,epilepsy,GABA receptor modulator,False,True
CHEMBL451,CHLORDIAZEPOXIDE,N05BA02,,,False,True
CHEMBL266349,MELAGATRAN,B01AE04,,,False,False
CHEMBL452,CLONAZEPAM,N03AE01,,,True,True
CHEMBL453,SULFISOXAZOLE,J01EB05;S01AB02,,,False,False
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,J01ED05,,bacterial antifolate,False,False
CHEMBL454,BUTALBITAL,,headache|muscle relaxant,GABA receptor antagonist,False,True
CHEMBL455,SULFACETAMIDE,S01AB04;D10AF06,conjunctivitis,PABA antagonist,False,False
CHEMBL43,AMSACRINE,L01XX01,acute lymphoblastic leukemia (ALL),topoisomerase inhibitor,False,False
CHEMBL456,ETHACRYNIC ACID,C03CC01,,,False,False
CHEMBL267744,TICRYNAFEN,C03CC02,,,False,False
CHEMBL457,GEMFIBROZIL,C10AB04,hyperlipidemia|coronary heart disease,lipoprotein lipase activator,False,False
CHEMBL45,MELATONIN,N05CH01,sleep cycle support,melatonin receptor agonist|nitric oxide synthase inhibitor,False,True
CHEMBL46,ONDANSETRON,A04AA01,nausea|vomiting,serotonin receptor antagonist,False,True
CHEMBL49,BUSPIRONE,N05BE01,generalized anxiety disorder (GAD),serotonin receptor agonist,False,True
CHEMBL51,KETANSERIN,C02KD01,hypertension,serotonin receptor antagonist,False,True
CHEMBL459,METHYLDOPA,C02AB01,hypertension,adrenergic receptor agonist,False,True
CHEMBL460,MOLINDONE,N05AE02,schizophrenia,dopamine receptor antagonist,False,True
CHEMBL53,APOMORPHINE,N04BC07;G04BE07,,,False,False
CHEMBL54,HALOPERIDOL,N05AD01,schizophrenia|Tourette's disorder,dopamine receptor antagonist,False,True
CHEMBL55,PENTAMIDINE,,pneumonia,anti-pneumocystis agent,False,False
CHEMBL463,AMINOHIPPURIC ACID,V04CH30,,,False,False
CHEMBL464,ETRETINATE,D05BB01,,protein synthesis inhibitor,False,False
CHEMBL57,NEVIRAPINE,J05AG01,human immunodeficiency virus (HIV-1),non-nucleoside reverse transcriptase inhibitor,False,False
CHEMBL465,DRONABINOL,A04AD10,,,True,True
CHEMBL58,MITOXANTRONE,L01DB07,multiple sclerosis|prostate cancer|acute myeloid leukemia (AML),topoisomerase inhibitor,False,False
CHEMBL59,DOPAMINE,C01CA04,ventricular arrhythmias|depression|headache|tremors,dopamine receptor agonist,False,True
CHEMBL61,PODOFILOX,D06BB04,,,False,False
CHEMBL64,ISONIAZID,J04AC51;J04AC01,tuberculosis,FABI inhibitor,False,False
CHEMBL468,THALIDOMIDE,L04AX02,myeloma,tumor necrosis factor production inhibitor,False,False
CHEMBL469,KETOROLAC,S01BC05;M01AB15,pain relief,cyclooxygenase inhibitor,False,True
CHEMBL471,SOTALOL,C07AA07,atrial fibrillation (AF)|ventricular arrhythmias,adrenergic receptor antagonist,False,True
CHEMBL472,GLYBURIDE,A10BB01,diabetes mellitus|hyperglycemia,ATP channel blocker|insulin secretagogue|sulfonylurea,False,False
CHEMBL9225,HEXESTROL,,hypoestrogenism,synthetic estrogen,False,False
CHEMBL473,DOFETILIDE,C01BD04,,potassium channel blocker,False,True
CHEMBL476,DACARBAZINE,L01AX04,melanoma|Hodgkin's lymphoma,DNA alkylating agent,False,False
CHEMBL477,ADENOSINE,C01EB10,Wolff-Parkinson-White Syndrome (WPW),adenosine receptor agonist,False,True
CHEMBL479,THIORIDAZINE,N05AC02,,dopamine receptor antagonist,False,True
CHEMBL480,LANSOPRAZOLE,A02BC03;A02BC53,heartburn,ATPase inhibitor,False,False
CHEMBL481,IRINOTECAN,L01CE02,colorectal cancer,topoisomerase inhibitor,False,False
CHEMBL70,MORPHINE,N02AA51;A07DA52;N02AA01,,,True,True
CHEMBL485,CODEINE,N02AA59;N02AA79;R05DA04,,,False,True
CHEMBL71,CHLORPROMAZINE,N05AA01,schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus,dopamine receptor antagonist,False,True
CHEMBL72,DESIPRAMINE,N06AA01,depression,tricyclic antidepressant,False,True
CHEMBL488,AMINOGLUTETHIMIDE,L02BG01,Cushing's syndrome|breast cancer,glucocorticoid receptor antagonist,False,False
CHEMBL74,CROMOLYN SODIUM,,,,False,False
CHEMBL76,CHLOROQUINE,P01BA01,malaria|amebiasis,antimalarial agent,False,False
CHEMBL490,PAROXETINE,N06AB05,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder,selective serotonin reuptake inhibitor (SSRI),False,True
CHEMBL416146,ETORICOXIB,M01AH05,rheumatoid arthritis|psoriatic arthritis|osteoarthritis|gout|ankylosing spondylitis,cyclooxygenase inhibitor,False,False
CHEMBL79,LIDOCAINE,R02AD02;D04AB01;N01BB02;S01HA07;C01BB01;N01BB52;S02DA01;C05AD01,itching|eczema|hemorrhage,histamine receptor agonist,True,True
CHEMBL9967,PIRENZEPINE,A02BX03,peptic ulcer disease (PUD),acetylcholine receptor antagonist,False,True
CHEMBL492,ETIDOCAINE,N01BB57;N01BB07,,,False,False
CHEMBL80,NALOXONE,A06AH04;V03AB15,respiratory depression,opioid receptor antagonist,False,True
CHEMBL81,RALOXIFENE,G03XC01,osteoporosis|breast cancer,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),False,False
CHEMBL83,TAMOXIFEN,L02BA01,breast cancer,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),False,False
CHEMBL493,BROMOCRIPTINE,G02CB01;N04BC01,hyperprolactinemia|Parkinson's Disease|acromegaly,dopamine receptor agonist,False,True
CHEMBL494,ILOPROST,B01AC11,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,False,False
CHEMBL84,TOPOTECAN,L01CE01,small cell lung cancer|cervical cancer,topoisomerase inhibitor,False,False
CHEMBL85,RISPERIDONE,N05AX08,schizophrenia|bipolar disorder|irritability,dopamine receptor antagonist|serotonin receptor antagonist,False,True
CHEMBL428880,CROMOLYN,R03BC01;R01AC01;A07EB01;D11AH03;R01AC51;S01GX01;S01GX51,,,False,False
CHEMBL86,METOCLOPRAMIDE,A03FA01,gastroparesis|nausea|vomiting,dopamine receptor antagonist|serotonin receptor antagonist,False,True
CHEMBL428647,PACLITAXEL,L01CD01,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC),tubulin polymerization inhibitor,False,False
CHEMBL495,ALPROSTADIL,G04BE01;C01EA01,congenital heart defects,prostanoid receptor agonist,False,False
CHEMBL496,HEXACHLOROPHENE,D08AE01,gram-positive bacterial infections,potassium channel activator,False,True
CHEMBL497,CLIOQUINOL,D09AA10;P01AA02;P01AA52;S02AA05;G01AC02;D08AH30,,chelating agent,False,False
CHEMBL10878,AGOMELATINE,N06AX22,depression,melatonin receptor agonist|serotonin receptor antagonist,False,True
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,,,,False,False
CHEMBL498,CHLORPROPAMIDE,A10BB02,diabetes mellitus,ATP channel blocker,False,False
CHEMBL499,TIMOLOL,C07AA06;S01ED51;S01ED01,ocular hypertension|glaucoma,adrenergic receptor antagonist,False,True
CHEMBL500,PINDOLOL,C07AA03,hypertension,adrenergic receptor antagonist,False,True
CHEMBL276832,HYDRALAZINE,C02DB02,hypertension,vasodilator,False,False
CHEMBL501,AMPHETAMINE SULFATE,,,,False,False
CHEMBL90,HISTAMINE,,allergic rhinitis,histamine receptor agonist,False,True
CHEMBL91,MICONAZOLE,G01AF04;S02AA13;J02AB01;A01AB09;D01AC52;A07AC01;D01AC02,yeast infection|itching,bacterial cell wall synthesis inhibitor,False,False
CHEMBL92,DOCETAXEL ANHYDROUS,,,,False,False
CHEMBL93,ZILEUTON,,asthma,leukotriene synthesis inhibitor|lipoxygenase inhibitor,False,False
CHEMBL94,PHYSOSTIGMINE,S01EB05;V03AB19,hypotension|Alzheimer's disease|glaucoma|gastroparesis,acetylcholinesterase inhibitor|cholinesterase inhibitor,False,True
CHEMBL95,TACRINE,N06DA01,Alzheimer's disease,acetylcholinesterase inhibitor,False,True
CHEMBL502,DONEPEZIL,N06DA02,Alzheimer's disease,acetylcholinesterase inhibitor,True,True
CHEMBL503,LOVASTATIN,C10AA02,coronary heart disease|myocardial infarction|hypercholesterolemia,HMGCR inhibitor,False,False
CHEMBL11662,OZAGREL,,stroke,thromboxane synthase inhibitor,False,False
CHEMBL12610,BENZYDAMINE,G02CC03;M01AX07;M02AA05;A01AD02;R02AX03,mouth inflammation|throat inflammation,prostanoid receptor antagonist,False,False
CHEMBL269644,ACETANILIDE,,,hydrogen peroxide decomposition inhibitor,False,False
CHEMBL505,CHLORPHENIRAMINE,R06AB54;R06AB04,,,False,False
CHEMBL506,PRIMAQUINE,P01BA03,malaria,antimalarial agent|DNA inhibitor,False,False
CHEMBL509,MECLOFENAMIC ACID,M01AG04;M02AA18,,,False,False
CHEMBL511,PYRILAMINE,R06AC01;D04AA02,,,False,False
CHEMBL12713,SERTINDOLE,N05AE03,,dopamine receptor antagonist|serotonin receptor antagonist,False,True
CHEMBL513,CARMUSTINE,L01AD01,non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|multiple myeloma|glioblastoma|brainstem glioma|medulloblastoma|astrocytoma|ependymoma,DNA alkylating agent|DNA inhibitor,False,False
CHEMBL514,LOMUSTINE,L01AD02,Hodgkin's lymphoma|brain tumors,DNA synthesis inhibitor,False,False
CHEMBL515,CHLORAMBUCIL,L01AA02,chronic lymphocytic leukemia (CLL)|Hodgkin's lymphoma,DNA inhibitor,False,False
CHEMBL516,CYPROHEPTADINE,R06AX02,allergic rhinitis|vasomotor rhinitis|conjunctivitis|urticaria|dermatographism,histamine receptor antagonist,False,True
CHEMBL12856,INAMRINONE,C01CE01,,,False,False
CHEMBL517,DISOPYRAMIDE,C01BA03,ventricular tachycardia (VT)|ventricular arrhythmias,sodium channel blocker,False,True
CHEMBL98,VORINOSTAT,L01XH01,cutaneous T-cell lymphoma (CTCL),HDAC inhibitor,False,False
CHEMBL521,IBUPROFEN,G02CC01;M01AE51;M02AA13;R02AX02;C01EB16;M01AE01,headache|muscle pain|rheumatoid arthritis|backache|common cold|menstrual pain|fever|toothache,cyclooxygenase inhibitor,True,True
CHEMBL13376,CLOMETACIN,,,,False,False
CHEMBL13280,FLUNITRAZEPAM,N05CD03,,,False,True
CHEMBL13209,NITRAZEPAM,N05CD02,,,False,True
CHEMBL524,METHOXAMINE,C01CA10,hypotension,adrenergic receptor agonist,False,True
CHEMBL526,PROPOFOL,N01AX10,anesthetic,benzodiazepine receptor agonist,True,True
CHEMBL527,PIROXICAM,M01AC01;M02AA07;S01BC06,osteoarthritis|rheumatoid arthritis,cyclooxygenase inhibitor,False,False
CHEMBL528,CEFTIZOXIME,J01DD07,,,False,False
CHEMBL101,PHENYLBUTAZONE,M01AA01;M02AA01,,cyclooxygenase inhibitor|prostanoid receptor antagonist,False,False
CHEMBL529,AZITHROMYCIN,J01FA10;S01AA26,pelvic inflammatory disease|pneumonia,bacterial 50S ribosomal subunit inhibitor,False,False
CHEMBL530,AMDINOCILLIN,J01CA11,urinary tract infections|gram-negative bacterial infections,bacterial cell wall synthesis inhibitor,False,False
CHEMBL531,PERGOLIDE,N04BC02,,dopamine receptor agonist,False,True
CHEMBL532,ERYTHROMYCIN,S01AA17;J01FA01;D10AF02;D10AF52,listeria|respiratory tract infections|skin infections|syphilis|amebiasis|pelvic inflammatory disease|chlamydia|diphtheria|erythrasma,NFkB pathway inhibitor,False,False
CHEMBL533,IBUTILIDE,C01BD05,atrial fibrillation (AF),potassium channel blocker,False,True
CHEMBL103,PROGESTERONE,G03DA04,infertility|amenorrhea,progesterone receptor agonist,False,False
CHEMBL534,KETOTIFEN,R06AX17;S01GX08,itching,histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor,False,True
CHEMBL535,SUNITINIB,L01EX01,gastrointestinal stromal tumors (GIST)|renal cell carcinoma (RCC)|neuroendocrine tumors of pancreatic origin (PNET),FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,False,False
CHEMBL537,HYDROQUINONE,D11AX11,dyschromia,melanin inhibitor,False,False
CHEMBL544,MEQUINOL,D11AX06,skin depigmentation,,False,False
CHEMBL104,CLOTRIMAZOLE,A01AB18;G01AF02;D01AC01,vulvovaginal candidiasis|oropharyngeal candidiasis,cytochrome P450 inhibitor|imidazoline receptor ligand,False,False
CHEMBL105,MITOMYCIN,L01DC03,,,False,False
CHEMBL546,OXPRENOLOL,C07AA02,angina pectoris|hypertension|cardiac arrythmia,adrenergic receptor antagonist,False,True
CHEMBL106,FLUCONAZOLE,J02AC01;D01AC15,esophageal candidiasis|meningitis,sterol demethylase inhibitor,False,False
CHEMBL547,ISOTRETINOIN,D10BA01;D10AD54;D10AD04,acne vulgaris (AV),retinoid receptor agonist,False,False
CHEMBL14376,ILOPERIDONE,N05AX14,schizophrenia,dopamine receptor antagonist|serotonin receptor antagonist,False,True
CHEMBL548,DINOPROSTONE,G02AD02,,prostanoid receptor agonist,False,False
CHEMBL278020,NEOSTIGMINE,S01EB06;N07AA01;N07AA51,myasthenia gravis,acetylcholinesterase inhibitor,False,True
CHEMBL14370,REBOXETINE,N06AX18,depression,adrenergic receptor antagonist,False,True
CHEMBL549,CITALOPRAM,N06AB04,depression,selective serotonin reuptake inhibitor (SSRI),False,True
CHEMBL550,PILOCARPINE,N07AX01;S01EB01;S01EB51,glaucoma|hypertension,acetylcholine receptor agonist,False,True
CHEMBL107,COLCHICINE,M04AC01,gout|fever,microtubule inhibitor,False,False
CHEMBL553,ERLOTINIB,L01EB02,non-small cell lung cancer (NSCLC)|pancreatic cancer,EGFR inhibitor,False,False
CHEMBL554,LAPATINIB,L01EH01,breast cancer,EGFR inhibitor,False,False
CHEMBL15023,TRIFLUPERIDOL,N05AD02,,,False,True
CHEMBL108,CARBAMAZEPINE,N03AF01,seizures,carboxamide antiepileptic,True,True
CHEMBL109,VALPROIC ACID,N03AG01,,,True,True
CHEMBL277100,TEMAFLOXACIN,J01MA05,,,False,False
CHEMBL110,BENZNIDAZOLE,P01CA02,Chagas disease,DNA synthesis inhibitor,False,False
CHEMBL558,MEXILETINE,C01BB02,ventricular arrhythmias|ventricular tachycardia (VT),sodium channel blocker,True,True
CHEMBL559,DEXTROTHYROXINE,C10AX01,,,False,False
CHEMBL111,RIMONABANT,A08AX01,,cannabinoid receptor antagonist,False,True
CHEMBL273575,NOMIFENSINE,N06AX04,,dopamine reuptake inhibitor|noradrenaline uptake inhibitor,False,True
CHEMBL561,LOMEFLOXACIN,J01MA07;S01AE04,respiratory tract infections|urinary tract infections,bacterial DNA gyrase inhibitor,False,False
CHEMBL562,GRISEOFULVIN,D01AA08;D01BA01,ringworm|tinea pedis,tubulin polymerization inhibitor,False,False
CHEMBL563,FLURBIPROFEN,M02AA19;S01BC04;M01AE09;R02AX01,,,False,False
CHEMBL564,PROMAZINE,N05AA03,schizophrenia,dopamine receptor antagonist,False,True
CHEMBL565,CLOFIBRATE,C10AB01,hyperlipidemia|cholesterol,PPAR receptor agonist,False,False
CHEMBL112,ACETAMINOPHEN,N02BE51;N02BE01;N02BE71,,,False,True
CHEMBL113,CAFFEINE,N06BC01;D11AX26,fatigue|drowsiness,adenosine receptor antagonist|phosphodiesterase inhibitor,False,True
CHEMBL16073,PHENACETIN,N02BE53;N02BE03;N02BE73,,cyclooxygenase inhibitor,False,True
CHEMBL567,PERPHENAZINE,N05AB03,schizophrenia|nausea|vomiting,dopamine receptor antagonist,False,True
CHEMBL568,OXAZEPAM,N05BA04,,,False,True
CHEMBL15770,SULINDAC,M01AB02,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis,cyclooxygenase inhibitor,False,False
CHEMBL15677,FENCLOFENAC,,,,False,False
CHEMBL276520,INDALPINE,,,selective serotonin reuptake inhibitor (SSRI),False,True
CHEMBL569,PROCAINE,N01BA52;N01BA02;S01HA05;C05AD05,anesthetic,HMGCR inhibitor,False,True
CHEMBL570,TRIFLUPROMAZINE,N05AA05,psychosis|nausea|vomiting,dopamine receptor antagonist,False,True
CHEMBL571,KETOPROFEN,M01AE53;M01AE03;M02AA10,rheumatoid arthritis|osteoarthritis,cyclooxygenase inhibitor,False,False
CHEMBL572,NITROFURANTOIN,J01XE01;J01XE51,urinary tract infections|pyelonephritis,DNA inhibitor,False,False
CHEMBL15870,INDOPROFEN,M01AE10,,cyclooxygenase inhibitor|prostanoid receptor antagonist,False,False
CHEMBL15891,LINDANE,P03AB02,scabies,,False,False
CHEMBL573,NIACIN,C10AD02;C04AC01;C10AD52,hypertriglyceridemia,NAD precursor|vitamin B,False,False
CHEMBL575,METHICILLIN,J01CF03,gram-negative bacterial infections|gram-positive bacterial infections,bacterial cell wall synthesis inhibitor,False,False
CHEMBL16080,TRICHLOROETHANE,,,,False,False
CHEMBL577,ENALAPRILAT ANHYDROUS,,,,False,False
CHEMBL578,ENALAPRIL,C09AA02,hypertension|congestive heart failure|left ventricular systolic dysfunction (LVSD),angiotensin converting enzyme inhibitor,False,False
CHEMBL580,LORAZEPAM,N05BA56;N05BA06,,,False,True
CHEMBL277062,BROMAZEPAM,N05BA08,,,False,True
CHEMBL277535,BIFONAZOLE,D01AC10;D01AC60,tinea pedis|tinea cruris,sterol demethylase inhibitor,False,False
CHEMBL583,GREPAFLOXACIN,J01MA11,,,False,False
CHEMBL114,SAQUINAVIR,J05AE01,human immunodeficiency virus (HIV-1),HIV protease inhibitor,False,False
CHEMBL115,INDINAVIR ANHYDROUS,,,,False,False
CHEMBL584,NELFINAVIR,J05AE04,human immunodeficiency virus (HIV-1),HIV protease inhibitor,False,False
CHEMBL116,AMPRENAVIR,J05AE05,human immunodeficiency virus (HIV-1),HIV protease inhibitor,False,False
CHEMBL585,TRIAMTERENE,C03DB02,hypokalemia|hypertension|edema,sodium channel blocker,False,True
CHEMBL16476,PRONETALOL,,,,False,False
CHEMBL118,CELECOXIB,M01AH01;L01XX33,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD),cyclooxygenase inhibitor,True,True
CHEMBL119,TRIMETREXATE,P01AX07,,dihydrofolate reductase inhibitor,False,False
CHEMBL588,FENOLDOPAM,C01CA19,hypertension,dopamine receptor agonist,False,True
CHEMBL589,ROPINIROLE,N04BC04,Parkinson's Disease|restless leg syndrome,dopamine receptor agonist,False,True
CHEMBL590,MENADIONE,B02BA02,ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,False,False
CHEMBL591,ETHCHLORVYNOL,N05CM08,,,False,True
